id,Reviews,clean_text,tokens
553,补水效果好，用后脸水润润的，味道清香，易吸收，做活动买的，很划算。,补水效果好 用后脸水润润的 味道清香 易吸收 做活动买的 很划算,补水效果 好 用后 脸 水润润的 味道 清香 易吸收 做 活动 买 很划算
554,还没用，送了面膜，包装还不错，忘记拍照了，物流还蛮快,还没用 送了面膜 包装还不错 忘记拍照了 物流还蛮快,还 没用 送 面膜 包装 还不错 忘记 拍照 物流 还蛮快
555,还不错吧，看~上推荐的，价格便宜，具体作用，有待时间的检验,还不错吧 看 上推荐的 价格便宜 具体作用 有待时间的检验,还不错 看 上 推荐 价格便宜 具体 作用 有待 时间 检验
556,面膜超级划算，很喜欢**买东西，又便宜又快。购物体验很好！面膜也不错。补水效果不错！,面膜超级划算 很喜欢 某品牌 买东西 又便宜又快 购物体验很好 面膜也不错 补水效果不错,面膜 超级划算 很喜欢 某品牌 买 东西 便宜 快 购物 体验 很好 面膜 不错 补水效果 不错
557,确实挺好用，挺舒服，挺干净！！！！之前也考虑过其它的，感觉这个性价比高！,确实挺好用 挺舒服 挺干净 之前也考虑过其它的 感觉这个性价比高,确实 挺好用 挺舒服 挺干净 之前 考虑 其它 感觉 性价比 高
558,好开心，送了超级多中样,好开心 送了超级多中样,好开心 送 超级多 中样
559,一直用这个，保湿效果非常好，干性皮肤很适合用，冬天再也不怕天气干燥,一直用这个 保湿效果非常好 干性皮肤很适合用 冬天再也不怕天气干燥,一直用 保湿效果 非常好 干性 皮肤 很适合 用 冬天 再也 不怕 天气 干燥
560,很好用，一直都在用，也很好涂抹，一抹就开！,很好用 一直都在用 也很好涂抹 一抹就开,很好用 一直 用 很好涂抹 一抹就开
561,还可以还有赠送，很实惠！,还可以还有赠送 很实惠,还可以 还有 赠送 很实惠
562,包装也太丑了。。吧,包装也太丑了 吧,包装 太丑了
563,很好，下次再来购买。,很好 下次再来购买,很好 下次 来 购买
564,哈哈哈哈哈，好快就到啦，很喜欢，很香哦！,哈哈哈哈哈 好快就到啦 很喜欢 很香哦,哈哈哈 哈哈 好快就到 很喜欢 很香
565,感觉太白了，白的不自然。,感觉太白了 白的不自然,感觉 太白了 白的不自然
566,还不错吧，给老妈买的，还送了很多赠品，如果用着好，我也给自己买试试,还不错吧 给老妈买的 还送了很多赠品 如果用着好 我也给自己买试试,还不错 老妈 买 还 送 很多 赠品 用着好 买 试试
567,很不错，又便宜。精华很多！,很不错 又便宜 精华很多,很不错 便宜 精华 很多
568,用后水水嫩嫩的，不油腻,用后水水嫩嫩的 不油腻,用后 水水嫩嫩的 不油腻
569,保质期四年，买到手还剩两年，怪不得便宜了，应当提前告知不足四年的！,保质期四年 买到手还剩两年 怪不得便宜了 应当提前告知不足四年的,保质期 四年 买 到手 还 剩 两年 怪不得 便宜 应当 提前 告知 不足四年
570,很好，是正品,很好 是正品,很好 是正品
571,看起来还不错，等用了再来评论吧,看起来还不错 等用了再来评论吧,看起来 还不错 等 用 来 评论
572,当天到货，才拿到就打开试用，涂在手上我用湿毛巾擦都擦不掉，清香型，很喜欢,当天到货 才拿到就打开试用 涂在手上我用湿毛巾擦都擦不掉 清香型 很喜欢,当天 到货 拿到 打开 试用 涂 手上 我用 湿 毛巾 擦 擦不掉 清香型 很喜欢
573,****，优惠多多。非常满意。希望能白一点。,某品牌 优惠多多 非常满意 希望能白一点,某品牌 优惠多多 非常满意 希望 能白 一点
574,与描述的一样 没让人失望,与描述的一样 没让人失望,描述 一样 没让人失望
575,确实挺白的，不过用完脸上长痘，还刺痒啊,确实挺白的 不过用完脸上长痘 还刺痒啊,确实挺白的 用 完 脸上 长痘 还 刺痒
576,大品牌值得信赖，**快递速度很快。,大品牌值得信赖 某品牌 快递速度很快,大 品牌 值得信赖 某品牌 快递速度 很快
577,补水的，买隔离送的，很满意，谢谢，好评哈,补水的 买隔离送的 很满意 谢谢 好评哈,补水的 买 隔离 送 很满意 谢谢 好评
578,很不错，用起来感觉很水润,很不错 用起来感觉很水润,很不错 用 起来 感觉 很水润
579,颜色挺合适，自然偏白,颜色挺合适 自然偏白,颜色 挺合适 自然 偏白
580,买回来先用一张，不过敏，好,买回来先用一张 不过敏 好,买回来 先 用 一张 不过敏 好
581,第二次购买了，一直都是在**买的化妆品，面膜什么的，发货速度快，商品好，信赖**,第二次购买了 一直都是在 某品牌 买的化妆品 面膜什么的 发货速度快 商品好 信赖 某品牌,第二次 购买 一直 某品牌 买 化妆品 面膜 发货速度 快 商品 好 信赖 某品牌
582,用了几天感觉很好,用了几天感觉很好,用 几天 感觉 很好
583,挺香的，感觉效果不错，泡沫很多,挺香的 感觉效果不错 泡沫很多,挺香的 感觉 效果 不错 泡沫 很多
584,一直在用这个牌子的护肤品，感觉很不错,一直在用这个牌子的护肤品 感觉很不错,一直在用 牌子 护肤品 感觉 很不错
585,非常好用很好,非常好用很好,非常好用 很好
586,包装精美，质量上乘，价格合理，值得购买。,包装精美 质量上乘 价格合理 值得购买,包装 精美 质量上乘 价格合理 值得 购买
587,第一次用这个牌子，感觉也还好。一直在**买东西，速度快，质量有保证，相信**，相信#。,第一次用这个牌子 感觉也还好 一直在 某品牌 买东西 速度快 质量有保证 相信 某品牌 相信,第一次 用 牌子 感觉 还好 一直 某品牌 买 东西 速度快 质量 有 保证 相信 某品牌 相信
588,这款面膜挺好用的，精华很多，粘稠，而且面膜很服帖，没有气泡现象，挺好。,这款面膜挺好用的 精华很多 粘稠 而且面膜很服帖 没有气泡现象 挺好,款 面膜 挺好用的 精华 很多 粘稠 而且 面膜 很服帖 没有 气泡 现象 挺好
589,很不错的一款隔离霜继续关注的&hellip,很不错的一款隔离霜继续关注的 hellip,很不错的 一款 隔离霜 继续 关注 hellip
590,第一次买，遮瑕，保湿效果非常好。下次还买。,第一次买 遮瑕 保湿效果非常好 下次还买,第一次 买 遮瑕 保湿效果 非常好 下次 还 买
591,非常好用，洗了脸很清爽舒服。,非常好用 洗了脸很清爽舒服,非常好用 洗 脸 很清爽舒服
592,还行吧，该车滴滴滴滴啊哈哈哈啊哈 哥给您你,还行吧 该车滴滴滴滴啊哈哈哈啊哈 哥给您你,还行吧 该车 滴滴 滴滴 哈哈哈 啊哈 哥
593,隔离非常好用，有一点提亮肤色,隔离非常好用 有一点提亮肤色,隔离 非常好用 有一点提亮肤色
594,已经第二次购买，很柔滑补水效果很好，真心好用,已经第二次购买 很柔滑补水效果很好 真心好用,第二次 购买 很柔滑 补水效果 很好 真心好用
595,感觉可以的,感觉可以的,感觉 可以的
596,不错，拿来补水用！,不错 拿来补水用,不错 拿来 补水 用
597,不错，挺好用的,不错 挺好用的,不错 挺好用的
598,做活动买的还挺划算的，包装很好，精华液也挺多的，效果嘛没什么突出的，就单纯补补水还OK吧,做活动买的还挺划算的 包装很好 精华液也挺多的 效果嘛没什么突出的 就单纯补补水还OK吧,做 活动 买 还挺划算的 包装 很好 精华液 挺多的 效果 没什么突出的 单纯 补补水 还OK
599,和以前用的比起来更滑,和以前用的比起来更滑,以前 用 比 起来 更滑
600,**大牌很好，用后感觉挺好,某品牌 大牌很好 用后感觉挺好,某品牌 大牌 很好 用后 感觉 挺好
601,买了一大堆可以用一段时间了还赠送了五片，好。,买了一大堆可以用一段时间了还赠送了五片 好,买 一大堆 可以 用 一段时间 还 赠送 五片 好
602,个人情况：好评，,个人情况 好评,个人 情况 好评
603,非常好，还送了面膜，给个赞！,非常好 还送了面膜 给个赞,非常好 还 送 面膜 给个赞
604,我用化妆品基本不会过敏的，但是用这款乳有点火辣辣的感觉,我用化妆品基本不会过敏的 但是用这款乳有点火辣辣的感觉,我用 化妆品 基本 不会过敏 用 这款 乳 有点火辣辣的 感觉
605,正品，价格实惠，感谢卖家送的礼物，谢谢！还会回购的！,正品 价格实惠 感谢卖家送的礼物 谢谢 还会回购的,正品 价格 实惠 感谢 卖家 送 礼物 谢谢 还会 回购
606,是正品，跟我在柜台买的一样但是比柜台要便宜很多，值得购买,是正品 跟我在柜台买的一样但是比柜台要便宜很多 值得购买,是正品 跟 柜台 买 一样 比 柜台 要 便宜很多 值得 购买
607,商品实用，性价比高；老婆很喜欢。,商品实用 性价比高 老婆很喜欢,商品 实用 性价比 高 老婆 很喜欢
608,不错，挺温和的一款洗面奶，我一直都在用这个牌子的！,不错 挺温和的一款洗面奶 我一直都在用这个牌子的,不错 挺温和的 一款 洗面奶 一直 用 牌子
609,挺好的，价格很实惠,挺好的 价格很实惠,挺好的 价格 很实惠
610,买水乳套装时凑单买的，听说用起来还不错,买水乳套装时凑单买的 听说用起来还不错,买水乳 套装 时 凑 单买 听说 用 起来 还不错
611,第二次购买了，好用。服帖保湿，不假白。,第二次购买了 好用 服帖保湿 不假白,第二次 购买 好用 服帖 保湿 不假白
612,非常失望，收到货居然是次品，镜子碎成这样了，不知这么多好评是哪来的，差差差,非常失望 收到货居然是次品 镜子碎成这样了 不知这么多好评是哪来的 差差差,非常失望 收到 货 居然 是次品 镜子 碎成 这样 不知 这么 多 好评 哪来 差差 差
613,宝贝！很满意！快递小哥很礼貌,宝贝 很满意 快递小哥很礼貌,宝贝 很满意 快递小哥 很礼貌
614,物流很准时，快递员辛苦了(�&nabla,物流很准时 快递员辛苦了 nabla,物流 很准时 快递员 辛苦了 nabla
615,今天刚收到，物流快，打开了看看，产品一样，??,今天刚收到 物流快 打开了看看 产品一样,今天 刚 收到 物流 快 打开 看看 产品 一样
616,东西不错一直在用，这次有促销就多买了些，好评！,东西不错一直在用 这次有促销就多买了些 好评,东西 不错 一直在用 这次 有 促销 多 买 好评
617,~拍的徒手装面膜，都不敢用了，扔柜子里了。,拍的徒手装面膜 都不敢用了 扔柜子里了,拍 徒手 装 面膜 不敢用 扔 柜子 里
618,隔离霜不错。用完还会继续买。,隔离霜不错 用完还会继续买,隔离霜 不错 用 完 还 会 继续 买
619,性价比比较高，适合学生党。,性价比比较高 适合学生党,性价比 比较高 适合 学生 党
620,超级难用！！！！上妆超级差，#，。很想退，但是开了封不能退。再#也不买了,超级难用 上妆超级差 很想退 但是开了封不能退 再也不买了,超级难用 上妆 超级差 很 想 退 开 封 不能 退 再也 不买
621,多次购买了 挺好用的,多次购买了 挺好用的,多次 购买 挺好用的
622,以前在实体店买过 这次在**买也蛮好的 也不卡粉,以前在实体店买过 这次在 某品牌 买也蛮好的 也不卡粉,以前 实体店 买过 这次 某品牌 买 蛮好的 不卡粉
623,还没用，但***的产品用了好几种了，都非常的不错，我是敏感肌肤，很适合用这款氨基酸的。囤货中。,还没用 但 某品牌 的产品用了好几种了 都非常的不错 我是敏感肌肤 很适合用这款氨基酸的 囤货中,还 没用 某品牌 产品 用 好几种 非常的不错 敏感 肌肤 很适合 用 这款 氨基酸 囤货 中
624,挺不错的 敏感肌终于找到合适的洗面奶了,挺不错的 敏感肌终于找到合适的洗面奶了,挺不错的 敏感肌 终于 找到 合适 洗面奶
625,还不错，隔离效果还可以！,还不错 隔离效果还可以,还不错 隔离效果 还可以
